#h	k	l			DE/EP	Eback-scattering (eV)					
-7	-3	-3	67		4.64950498326028E-06	8969.343523535
0	6	6	72		5.67905546018423E-06	9297.9992018095
0	6	-6	72		5.67905546018423E-06	9297.9992018095
0	-6	6	72		5.67905546018423E-06	9297.9992018095
0	-6	-6	72		5.67905546018423E-06	9297.9992018095
2	2	8	72		5.67905546018423E-06	9297.9992018095
2	2	-8	72		5.67905546018423E-06	9297.9992018095
2	-2	8	72		5.67905546018423E-06	9297.9992018095
2	-2	-8	72		5.67905546018423E-06	9297.9992018095
-2	2	8	72		5.67905546018423E-06	9297.9992018095
-2	2	-8	72		5.67905546018423E-06	9297.9992018095
-2	-2	8	72		5.67905546018423E-06	9297.9992018095
-2	-2	-8	72		5.67905546018423E-06	9297.9992018095
2	8	2	72		5.67905546018423E-06	9297.9992018095
2	8	-2	72		5.67905546018423E-06	9297.9992018095
2	-8	2	72		5.67905546018423E-06	9297.9992018095
2	-8	-2	72		5.67905546018423E-06	9297.9992018095
-2	8	2	72		5.67905546018423E-06	9297.9992018095
-2	8	-2	72		5.67905546018423E-06	9297.9992018095
-2	-8	2	72		5.67905546018423E-06	9297.9992018095
-2	-8	-2	72		5.67905546018423E-06	9297.9992018095
6	0	6	72		5.67905546018423E-06	9297.9992018095
6	0	-6	72		5.67905546018423E-06	9297.9992018095
-6	0	6	72		5.67905546018423E-06	9297.9992018095
-6	0	-6	72		5.67905546018423E-06	9297.9992018095
6	6	0	72		5.67905546018423E-06	9297.9992018095
6	-6	0	72		5.67905546018423E-06	9297.9992018095
-6	6	0	72		5.67905546018423E-06	9297.9992018095
-6	-6	0	72		5.67905546018423E-06	9297.9992018095
8	2	2	72		5.67905546018423E-06	9297.9992018095
8	2	-2	72		5.67905546018423E-06	9297.9992018095
8	-2	2	72		5.67905546018423E-06	9297.9992018095
8	-2	-2	72		5.67905546018423E-06	9297.9992018095
-8	2	2	72		5.67905546018423E-06	9297.9992018095
-8	2	-2	72		5.67905546018423E-06	9297.9992018095
-8	-2	2	72		5.67905546018423E-06	9297.9992018095
-8	-2	-2	72		5.67905546018423E-06	9297.9992018095
1	5	7	75		3.74116065302299E-06	9489.7306971827
1	5	-7	75		3.74116065302299E-06	9489.7306971827
1	-5	7	75		3.74116065302299E-06	9489.7306971827
1	-5	-7	75		3.74116065302299E-06	9489.7306971827
-1	5	7	75		3.74116065302299E-06	9489.7306971827
-1	5	-7	75		3.74116065302299E-06	9489.7306971827
-1	-5	7	75		3.74116065302299E-06	9489.7306971827
-1	-5	-7	75		3.74116065302299E-06	9489.7306971827
1	7	5	75		3.74116065302299E-06	9489.7306971827
1	7	-5	75		3.74116065302299E-06	9489.7306971827
1	-7	5	75		3.74116065302299E-06	9489.7306971827
1	-7	-5	75		3.74116065302299E-06	9489.7306971827
