# h	k	l			DE/EP	Eback-scattering (eV)					
3	-3	-3	27		8.69984374220771E-06	5931.1973647448
-3	3	3	27		8.69984374220771E-06	5931.1973647448
-3	3	-3	27		8.69984374220771E-06	5931.1973647448
-3	-3	3	27		8.69984374220771E-06	5931.1973647448
-3	-3	-3	27		8.69984374220771E-06	5931.1973647448
5	1	1	27		8.69984374220771E-06	5931.1973647448
5	1	-1	27		8.69984374220771E-06	5931.1973647448
5	-1	1	27		8.69984374220771E-06	5931.1973647448
5	-1	-1	27		8.69984374220771E-06	5931.1973647448
-5	1	1	27		8.69984374220771E-06	5931.1973647448
-5	1	-1	27		8.69984374220771E-06	5931.1973647448
-5	-1	1	27		8.69984374220771E-06	5931.1973647448
-5	-1	-1	27		8.69984374220771E-06	5931.1973647448
0	4	4	32		9.46260725915661E-06	6457.0698254955
0	4	-4	32		9.46260725915661E-06	6457.0698254955
0	-4	4	32		9.46260725915661E-06	6457.0698254955
0	-4	-4	32		9.46260725915661E-06	6457.0698254955
4	0	4	32		9.46260725915661E-06	6457.0698254955
4	0	-4	32		9.46260725915661E-06	6457.0698254955
-4	0	4	32		9.46260725915661E-06	6457.0698254955
-4	0	-4	32		9.46260725915661E-06	6457.0698254955
4	4	0	32		9.46260725915661E-06	6457.0698254955
4	-4	0	32		9.46260725915661E-06	6457.0698254955
-4	4	0	32		9.46260725915661E-06	6457.0698254955
-4	-4	0	32		9.46260725915661E-06	6457.0698254955
1	3	5	35		5.90859076889314E-06	6752.9652644143
1	3	-5	35		5.90859076889314E-06	6752.9652644143
1	-3	5	35		5.90859076889314E-06	6752.9652644143
1	-3	-5	35		5.90859076889314E-06	6752.9652644143
-1	3	5	35		5.90859076889314E-06	6752.9652644143
-1	3	-5	35		5.90859076889314E-06	6752.9652644143
-1	-3	5	35		5.90859076889314E-06	6752.9652644143
-1	-3	-5	35		5.90859076889314E-06	6752.9652644143
1	5	3	35		5.90859076889314E-06	6752.9652644143
1	5	-3	35		5.90859076889314E-06	6752.9652644143
1	-5	3	35		5.90859076889314E-06	6752.9652644143
1	-5	-3	35		5.90859076889314E-06	6752.9652644143
-1	5	3	35		5.90859076889314E-06	6752.9652644143
-1	5	-3	35		5.90859076889314E-06	6752.9652644143
-1	-5	3	35		5.90859076889314E-06	6752.9652644143
-1	-5	-3	35		5.90859076889314E-06	6752.9652644143
3	1	5	35		5.90859076889314E-06	6752.9652644143
3	1	-5	35		5.90859076889314E-06	6752.9652644143
3	-1	5	35		5.90859076889314E-06	6752.9652644143
3	-1	-5	35		5.90859076889314E-06	6752.9652644143
-3	1	5	35		5.90859076889314E-06	6752.9652644143
-3	1	-5	35		5.90859076889314E-06	6752.9652644143
-3	-1	5	35		5.90859076889314E-06	6752.9652644143
-3	-1	-5	35		5.90859076889314E-06	6752.9652644143
